    ˇˇˇˇ          è+70	 : 34,30059	 : SalmonWithPotatoes
155	 : 39,28071	 : Lasagna
210	 : 54,44106	 : Sandwich
260	 : 61,00121	 : TunaPasta
325	 : 76,81912	 : OmeletteCheese
390	 : 90,69679	 : OmeletteCheese
440	 : 93,71629	 : EggsWithVegetables
505	 : 112,993	 : OmeletteCheese
580	 : 127,3106	 : TacosAlPastor
650	 : 132,9716	 : SalmonWithPotatoes
700	 : 149,4751	 : ScrambledEggs
760	 : 164,0182	 : ChickenWithRice
850	 : 170,9397	 : FriedShrimps
940	 : 185,6628	 : FriedShrimps
990	 : 191,084	 : TunaPasta
1040	 : 206,0472	 : ScrambledEggs
1100	 : 222,2707	 : ChickenWithRice
1185	 : 227,2717	 : Lasagna
1240	 : 243,5152	 : Sandwich
1290	 : 252,9972	 : EggsWithVegetables
1360	 : 264,0334	 : SalmonWithPotatoes
1410	 : 270,37	 : TunaPasta
1475	 : 290,2191	 : OmeletteCheese
1525	 : 294,8565	 : EggsWithVegetables
1615	 : 312,5668	 : FriedShrimps
1670	 : 326,699	 : Sandwich
1720	 : 333,975	 : ScrambledEggs
1775	 : 348,7469	 : Sandwich
1850	 : 363,1989	 : TacosAlPastor
1900	 : 365,6776	 : TunaPasta
1965	 : 385,0269	 : OmeletteCheese
2015	 : 394,042	 : EggsWithVegetables
2075	 : 405,2958	 : ChickenWithRice
2125	 : 415,7101	 : EggsWithVegetables
2205	 : 431,3215	 : GourmetHamburger
2270	 : 441,5559	 : OmeletteCheese
2320	 : 444,6342	 : TunaPasta
2375	 : 467,5816	 : Sandwich
2425	 : 479,575	 : ScrambledEggs
2490	 : 488,3102	 : OmeletteCheese
2565	 : 504,0016	 : TacosAlPastor
2625	 : 514,7198	 : ChickenWithRice
2675	 : 525,3902	 : ScrambledEggs
2730	 : 540,4849	 : Sandwich
2825	 : 552,2164	 : Sushi
2920	 : 561,7256	 : Sushi
2995	 : 577,1407	 : TacosAlPastor
3060	 : 587,3506	 : OmeletteCheese
3110	 : 590,1934	 : TunaPasta
3200	 : 613,4761	 : FriedShrimps
3280	 : 625,3677	 : GourmetHamburger
3365	 : 633,856	 : Lasagna
3415	 : 644,5665	 : EggsWithVegetables
3485	 : 660,6622	 : SalmonWithPotatoes
3535	 : 670,5318	 : ScrambledEggs
3600	 : 680,3013	 : OmeletteCheese
3655	 : 697,2379	 : Sandwich
3750	 : 705,8663	 : Sushi
3835	 : 718,5587	 : Lasagna
3885	 : 733,3931	 : ScrambledEggs
3935	 : 741,8414	 : ScrambledEggs
3985	 : 754,6539	 : ScrambledEggs
4080	 : 770,0689	 : Sushi
4135	 : 777,6163	 : Sandwich
4230	 : 791,7501	 : Sushi
4310	 : 806,3443	 : GourmetHamburger
4360	 : 814,3121	 : ScrambledEggs
4410	 : 828,1656	 : ScrambledEggs
4460	 : 837,4346	 : EggsWithVegetables
4550	 : 849,4864	 : FriedShrimps
4600	 : 864,8614	 : ScrambledEggs
4665	 : 872,9293	 : OmeletteCheese
4745	 : 886,5826	 : GourmetHamburger
4795	 : 895,6915	 : EggsWithVegetables
4865	 : 908,7242	 : SalmonWithPotatoes
4915	 : 917,4727	 : EggsWithVegetables
4985	 : 933,3482	 : SalmonWithPotatoes
5035	 : 939,6143	 : EggsWithVegetables
5085	 : 950,0245	 : EggsWithVegetables
5160	 : 969,4234	 : TacosAlPastor
5245	 : 976,5904	 : Lasagna
5340	 : 990,3638	 : Sushi
5390	 : 1000,574	 : EggsWithVegetables
5440	 : 1006,199	 : EggsWithVegetables
5510	 : 1027,12	 : SalmonWithPotatoes
5560	 : 1029,622	 : TunaPasta
5645	 : 1047,84	 : Lasagna
5695	 : 1063,435	 : ScrambledEggs
5790	 : 1068,56	 : Sushi
5840	 : 1084,576	 : ScrambledEggs
5890	 : 1100,091	 : ScrambledEggs
5960	 : 1105,716	 : SalmonWithPotatoes
6035	 : 1120,971	 : TacosAlPastor
6085	 : 1136,426	 : ScrambledEggs
6135	 : 1139,95	 : EggsWithVegetables
6190	 : 1157,347	 : Sandwich
6240	 : 1163,533	 : TunaPasta
6330	 : 1177,086	 : FriedShrimps
6390	 : 1193,842	 : ChickenWithRice
6445	 : 1199,188	 : Sandwich
6495	 : 1209,738	 : EggsWithVegetables
6545	 : 1229,978	 : ScrambledEggs
6640	 : 1236,244	 : Sushi
6695	 : 1250,738	 : Sandwich
6745	 : 1266,653	 : ScrambledEggs
6805	 : 1271,958	 : ChickenWithRice
6875	 : 1288,014	 : SalmonWithPotatoes
6925	 : 1302,789	 : ScrambledEggs
6980	 : 1309,555	 : Sandwich
7065	 : 1324,35	 : Lasagna
7135	 : 1339,384	 : SalmonWithPotatoes
7220	 : 1345,17	 : Lasagna
7300	 : 1360,845	 : GourmetHamburger
7390	 : 1375,459	 : FriedShrimps
7475	 : 1382,646	 : Lasagna
7525	 : 1397,041	 : ScrambledEggs
7595	 : 1412,295	 : SalmonWithPotatoes
7680	 : 1418,241	 : Lasagna
7735	 : 1433,696	 : Sandwich
7830	 : 1448,571	 : Sushi
7920	 : 1455,377	 : FriedShrimps
7970	 : 1464,526	 : EggsWithVegetables
8020	 : 1485,267	 : ScrambledEggs
8070	 : 1491,613	 : ScrambledEggs
8140	 : 1506,207	 : SalmonWithPotatoes
8205	 : 1521,682	 : OmeletteCheese
8290	 : 1527,848	 : Lasagna
8340	 : 1533,253	 : TunaPasta
8390	 : 1553,653	 : TunaPasta
8440	 : 1558,638	 : ScrambledEggs
8490	 : 1569,108	 : TunaPasta
8540	 : 1584,664	 : EggsWithVegetables
8610	 : 1594,433	 : SalmonWithPotatoes
8685	 : 1610,289	 : TacosAlPastor
8735	 : 1619,878	 : ScrambledEggs
8815	 : 1631,569	 : GourmetHamburger
8900	 : 1647,004	 : Lasagna
8995	 : 1655,873	 : Sushi
9065	 : 1668,125	 : SalmonWithPotatoes
9145	 : 1683,52	 : GourmetHamburger
9195	 : 1687,063	 : EggsWithVegetables
9265	 : 1704,521	 : SalmonWithPotatoes
9330	 : 1719,755	 : OmeletteCheese
9395	 : 1725,561	 : OmeletteCheese
9480	 : 1740,796	 : Lasagna
9540	 : 1756,631	 : ChickenWithRice
9625	 : 1762,197	 : Lasagna
9700	 : 1777,612	 : TacosAlPastor
9755	 : 1792,887	 : Sandwich
9840	 : 1798,632	 : Lasagna
9895	 : 1813,987	 : Sandwich
9945	 : 1823,937	 : EggsWithVegetables
9995	 : 1834,187	 : ScrambledEggs
10050	 : 1850,363	 : Sandwich
10120	 : 1859,271	 : SalmonWithPotatoes
10195	 : 1871,543	 : TacosAlPastor
10285	 : 1886,678	 : FriedShrimps
10340	 : 1895,247	 : Sandwich
10390	 : 1899,671	 : TunaPasta
10445	 : 1923,214	 : Sandwich
10520	 : 1931,702	 : TacosAlPastor
10595	 : 1943,714	 : TacosAlPastor
10645	 : 1950,1	 : TunaPasta
10700	 : 1969,459	 : Sandwich
10755	 : 1980,049	 : Sandwich
10825	 : 1991,24	 : SalmonWithPotatoes
