    ÿÿÿÿ          Ò*60	 : 34.80061	 : ChickenWithRice
125	 : 39.80072	 : OmeletteCheese
205	 : 54.86106	 : GourmetHamburger
290	 : 70.90012	 : Lasagna
375	 : 75.89928	 : Lasagna
440	 : 91.8166	 : OmeletteCheese
495	 : 107.374	 : Sandwich
575	 : 112.9731	 : GourmetHamburger
665	 : 128.4106	 : FriedShrimps
715	 : 143.5338	 : ScrambledEggs
795	 : 149.6351	 : GourmetHamburger
865	 : 164.5983	 : SalmonWithPotatoes
940	 : 180.2217	 : TacosAlPastor
990	 : 183.7224	 : EggsWithVegetables
1050	 : 201.1662	 : ChickenWithRice
1145	 : 216.3494	 : Sushi
1220	 : 221.8506	 : TacosAlPastor
1280	 : 237.3739	 : ChickenWithRice
1330	 : 243.3152	 : TunaPasta
1420	 : 257.3771	 : FriedShrimps
1500	 : 273.928	 : GourmetHamburger
1565	 : 279.6449	 : OmeletteCheese
1615	 : 294.7965	 : ScrambledEggs
1695	 : 310.0282	 : GourmetHamburger
1785	 : 315.6851	 : FriedShrimps
1840	 : 331.1566	 : Sandwich
1895	 : 346.5881	 : Sandwich
1945	 : 352.4848	 : ScrambledEggs
1995	 : 358.0218	 : TunaPasta
2060	 : 382.7082	 : OmeletteCheese
2125	 : 389.4845	 : OmeletteCheese
2175	 : 393.4623	 : TunaPasta
2270	 : 419.2082	 : Sushi
2360	 : 425.7646	 : FriedShrimps
2435	 : 439.6169	 : TacosAlPastor
2525	 : 455.7081	 : FriedShrimps
2610	 : 461.9247	 : Lasagna
2695	 : 476.7565	 : Lasagna
2745	 : 486.771	 : EggsWithVegetables
2795	 : 497.1053	 : ScrambledEggs
2850	 : 513.1783	 : Sandwich
2900	 : 522.0269	 : ScrambledEggs
2980	 : 534.1988	 : GourmetHamburger
3075	 : 549.4136	 : Sushi
3165	 : 557.7017	 : FriedShrimps
3235	 : 570.5342	 : SalmonWithPotatoes
3310	 : 585.8091	 : TacosAlPastor
3360	 : 593.877	 : ScrambledEggs
3445	 : 607.0699	 : Lasagna
3525	 : 621.9644	 : GourmetHamburger
3575	 : 623.9664	 : TunaPasta
3635	 : 643.4053	 : ChickenWithRice
3725	 : 658.5401	 : FriedShrimps
3780	 : 663.6451	 : Sandwich
3855	 : 679.981	 : TacosAlPastor
3950	 : 694.7755	 : Sushi
4035	 : 701.5421	 : Lasagna
4110	 : 716.1964	 : TacosAlPastor
4195	 : 731.3311	 : Lasagna
4285	 : 737.1768	 : FriedShrimps
4335	 : 743.3428	 : TunaPasta
4415	 : 767.5464	 : GourmetHamburger
4505	 : 774.1329	 : FriedShrimps
4600	 : 787.7862	 : Sushi
4685	 : 804.3624	 : Lasagna
4745	 : 809.8277	 : ChickenWithRice
4795	 : 820.2178	 : EggsWithVegetables
4865	 : 840.5977	 : SalmonWithPotatoes
4925	 : 846.6236	 : ChickenWithRice
4975	 : 861.3179	 : ScrambledEggs
5065	 : 877.1734	 : FriedShrimps
5140	 : 882.3785	 : TacosAlPastor
5215	 : 898.4942	 : TacosAlPastor
5290	 : 913.3687	 : TacosAlPastor
5340	 : 915.3707	 : TunaPasta
5390	 : 925.2603	 : TunaPasta
5440	 : 950.0445	 : ScrambledEggs
5530	 : 955.0294	 : FriedShrimps
5580	 : 965.0792	 : EggsWithVegetables
5660	 : 986.3399	 : GourmetHamburger
5735	 : 992.0855	 : TacosAlPastor
5805	 : 1007.06	 : SalmonWithPotatoes
5895	 : 1022.856	 : FriedShrimps
5980	 : 1027.84	 : Lasagna
6035	 : 1044.276	 : Sandwich
6090	 : 1058.991	 : Sandwich
6170	 : 1065.857	 : GourmetHamburger
6250	 : 1080.552	 : GourmetHamburger
6335	 : 1095.566	 : Lasagna
6385	 : 1099.07	 : EggsWithVegetables
6445	 : 1117.067	 : ChickenWithRice
6495	 : 1126.316	 : EggsWithVegetables
6565	 : 1137.207	 : SalmonWithPotatoes
6620	 : 1153.723	 : Sandwich
6695	 : 1162.452	 : TacosAlPastor
6775	 : 1174.724	 : GourmetHamburger
6825	 : 1180.79	 : TunaPasta
6875	 : 1197.606	 : ScrambledEggs
6960	 : 1211.279	 : Lasagna
7015	 : 1218.606	 : Sandwich
7065	 : 1224.612	 : TunaPasta
7155	 : 1247.595	 : FriedShrimps
7235	 : 1255.202	 : GourmetHamburger
7285	 : 1268.395	 : ScrambledEggs
7335	 : 1274.581	 : TunaPasta
7430	 : 1290.336	 : Sushi
7500	 : 1304.871	 : SalmonWithPotatoes
7585	 : 1310.576	 : Lasagna
7635	 : 1321.407	 : EggsWithVegetables
7685	 : 1337.763	 : TunaPasta
7770	 : 1342.287	 : Lasagna
