    ÿÿÿÿ          š/70	 : 34,6406	 : SalmonWithPotatoes
120	 : 39,66072	 : ScrambledEggs
170	 : 44,84084	 : TunaPasta
250	 : 71,46002	 : GourmetHamburger
325	 : 76,45918	 : TacosAlPastor
375	 : 91,73662	 : ScrambledEggs
425	 : 107,9939	 : ScrambledEggs
490	 : 112,993	 : OmeletteCheese
565	 : 128,6107	 : TacosAlPastor
625	 : 144,7141	 : ChickenWithRice
720	 : 149,7752	 : Sushi
785	 : 165,8186	 : OmeletteCheese
835	 : 175,5007	 : EggsWithVegetables
905	 : 185,9629	 : SalmonWithPotatoes
985	 : 202,3464	 : GourmetHamburger
1080	 : 213,1487	 : Sushi
1175	 : 223,1108	 : Sushi
1225	 : 229,5522	 : TunaPasta
1290	 : 248,5963	 : OmeletteCheese
1355	 : 259,7158	 : OmeletteCheese
1425,682	 : 268,6309	 : Sushi
1500,682	 : 285,1219	 : TacosAlPastor
1575,682	 : 294,9165	 : TacosAlPastor
1635,682	 : 306,3502	 : ChickenWithRice
1685,682	 : 321,8817	 : ScrambledEggs
1770,682	 : 331,0166	 : Lasagna
1850,682	 : 343,03	 : GourmetHamburger
1915,682	 : 358,4615	 : OmeletteCheese
1965,682	 : 360,9602	 : TunaPasta
2055,683	 : 379,5699	 : FriedShrimps
2140,683	 : 394,7216	 : Lasagna
2172,603	 : 400,1986	 : Sandwich
2227,603	 : 415,6301	 : Sandwich
2277,603	 : 425,6646	 : EggsWithVegetables
2367,603	 : 435,899	 : FriedShrimps
2437,603	 : 451,9901	 : SalmonWithPotatoes
2487,603	 : 455,868	 : EggsWithVegetables
2537,603	 : 463,6437	 : TunaPasta
2587,603	 : 482,6733	 : EggsWithVegetables
2637,603	 : 487,1508	 : EggsWithVegetables
2727,603	 : 507,4996	 : FriedShrimps
2792,603	 : 519,3043	 : OmeletteCheese
2877,603	 : 527,3922	 : Lasagna
2927,603	 : 543,9883	 : ScrambledEggs
2987,603	 : 554,3985	 : ChickenWithRice
3037,603	 : 559,8038	 : EggsWithVegetables
3102,603	 : 580,3038	 : OmeletteCheese
3157,603	 : 592,1353	 : Sandwich
3218,987	 : 600,9439	 : SalmonWithPotatoes
3273,987	 : 616,7393	 : Sandwich
3358,987	 : 627,4097	 : Lasagna
3448,987	 : 638,0801	 : FriedShrimps
3533,987	 : 653,0347	 : Lasagna
3598,987	 : 665,0464	 : OmeletteCheese
3688,987	 : 674,4156	 : FriedShrimps
3758,987	 : 689,7906	 : SalmonWithPotatoes
3808,987	 : 700,2208	 : ScrambledEggs
3898,987	 : 711,4918	 : FriedShrimps
3988,987	 : 726,2462	 : FriedShrimps
4063,987	 : 738,1778	 : TacosAlPastor
4118,987	 : 747,8072	 : Sandwich
4183,987	 : 762,9019	 : OmeletteCheese
4268,987	 : 773,4322	 : Lasagna
4325,128	 : 784,3028	 : ChickenWithRice
4420,128	 : 799,2774	 : Sushi
4485,128	 : 811,3692	 : OmeletteCheese
4575,128	 : 820,6583	 : FriedShrimps
4625,128	 : 826,4039	 : TunaPasta
4685,128	 : 846,5035	 : ChickenWithRice
4750,128	 : 857,3741	 : OmeletteCheese
4840,128	 : 866,2227	 : FriedShrimps
4895,128	 : 883,0591	 : Sandwich
4985,128	 : 892,4483	 : FriedShrimps
5075,128	 : 904,3599	 : FriedShrimps
5140,128	 : 919,6548	 : OmeletteCheese
5210,128	 : 928,4634	 : SalmonWithPotatoes
5295,128	 : 940,5352	 : Lasagna
5370,128	 : 956,8712	 : TacosAlPastor
5430,128	 : 964,0381	 : ChickenWithRice
5495,128	 : 978,2921	 : OmeletteCheese
5550,128	 : 993,0865	 : Sandwich
5635,128	 : 1000,814	 : Lasagna
5720,128	 : 1014,527	 : Lasagna
5770,128	 : 1020,053	 : TunaPasta
5855,128	 : 1036,048	 : Lasagna
5905,128	 : 1045,778	 : EggsWithVegetables
5990,128	 : 1055,888	 : Lasagna
6040,128	 : 1063,155	 : TunaPasta
6135,128	 : 1081,072	 : Sushi
6196,028	 : 1092,523	 : OmeletteCheese
6246,028	 : 1095,787	 : EggsWithVegetables
6301,028	 : 1117,628	 : Sandwich
6386,028	 : 1127,898	 : Lasagna
6481,028	 : 1138,688	 : Sushi
6551,028	 : 1153,963	 : SalmonWithPotatoes
6601,028	 : 1156,466	 : TunaPasta
6666,028	 : 1175,244	 : OmeletteCheese
6736,028	 : 1190,659	 : SalmonWithPotatoes
6811,028	 : 1196,225	 : TacosAlPastor
6896,028	 : 1211,88	 : Lasagna
6946,028	 : 1221,589	 : EggsWithVegetables
7036,028	 : 1232,36	 : FriedShrimps
7086,028	 : 1248,616	 : ScrambledEggs
7136,028	 : 1257,544	 : ScrambledEggs
7200,6	 : 1269,636	 : SalmonWithPotatoes
7250,6	 : 1275,702	 : TunaPasta
7300,6	 : 1292,839	 : ScrambledEggs
7350,6	 : 1300,747	 : EggsWithVegetables
7388,97	 : 1312,758	 : ScrambledEggs
7438,97	 : 1329,495	 : ScrambledEggs
7488,97	 : 1331,957	 : TunaPasta
7538,97	 : 1341,086	 : TunaPasta
7598,97	 : 1365,73	 : ChickenWithRice
7683,97	 : 1370,715	 : Lasagna
7707,235	 : 1376,46	 : TunaPasta
7757,235	 : 1402,446	 : ScrambledEggs
7807,235	 : 1405,949	 : EggsWithVegetables
7902,235	 : 1422,806	 : Sushi
7952,235	 : 1438,701	 : ScrambledEggs
8037,235	 : 1443,866	 : Lasagna
8112,235	 : 1459,762	 : TacosAlPastor
8162,235	 : 1469,651	 : EggsWithVegetables
8212,235	 : 1479,621	 : ScrambledEggs
8287,235	 : 1496,498	 : TacosAlPastor
8357,235	 : 1505,046	 : SalmonWithPotatoes
8407,235	 : 1508,669	 : TunaPasta
8467,235	 : 1532,733	 : ChickenWithRice
8547,235	 : 1541,441	 : GourmetHamburger
8627,235	 : 1552,953	 : GourmetHamburger
8702,235	 : 1569,449	 : TacosAlPastor
8757,235	 : 1577,236	 : Sandwich
8827,235	 : 1590,75	 : SalmonWithPotatoes
8877,235	 : 1605,784	 : ScrambledEggs
8932,235	 : 1613,832	 : Sandwich
8987,235	 : 1627,105	 : Sandwich
9072,235	 : 1642,42	 : Lasagna
9157,235	 : 1649,427	 : Lasagna
9232,235	 : 1664,021	 : TacosAlPastor
9317,235	 : 1678,896	 : Lasagna
9392,235	 : 1686,103	 : TacosAlPastor
9447,235	 : 1700,437	 : Sandwich
9522,235	 : 1715,471	 : TacosAlPastor
9607,235	 : 1721,817	 : Lasagna
9657,235	 : 1731,607	 : EggsWithVegetables
9737,235	 : 1751,787	 : GourmetHamburger
9807,235	 : 1758,773	 : SalmonWithPotatoes
9902,235	 : 1772,547	 : Sushi
9957,235	 : 1788,342	 : Sandwich
10052,24	 : 1794,388	 : Sushi
10117,24	 : 1809,563	 : OmeletteCheese
10167,24	 : 1815,309	 : TunaPasta
10242,24	 : 1832,265	 : TacosAlPastor
10302,24	 : 1845,898	 : ChickenWithRice
10348,59	 : 1853,506	 : GourmetHamburger
10398,59	 : 1868,46	 : ScrambledEggs
10458,59	 : 1882,454	 : ChickenWithRice
10533,59	 : 1889,201	 : TacosAlPastor
10608,59	 : 1905,316	 : TacosAlPastor
10658,59	 : 1918,99	 : ScrambledEggs
10708,59	 : 1926,557	 : ScrambledEggs
10758,59	 : 1936,086	 : EggsWithVegetables
